 Access control,Block Access (block_access),Enabled,7.x-1.6
 Access control,Content Access (content_access),Not installed,7.x-1.2-beta2
 Access control,Content Access Rules Integrations (content_access_rules),Not installed,7.x-1.2-beta2
 Access control,Node view permissions (node_view_permissions),Not installed,7.x-1.6
 Administration,Actions permissions (VBO) (actions_permissions),Enabled,7.x-3.3
 Administration,Administration Development tools (admin_devel),Not installed,7.x-3.0-rc5
 Administration,Administration menu (admin_menu),Enabled,7.x-3.0-rc5
 Administration,Administration menu Toolbar style (admin_menu_toolbar),Enabled,7.x-3.0-rc5
 Administration,Administration views (admin_views),Enabled,7.x-3.0-rc1
 Administration,Coffee (coffee),Not installed,7.x-2.0
 Administration,Filter permissions (filter_perms),Not installed,7.x-1.0
 Biblio,Biblio (biblio),Not installed,7.x-1.0-rc7
 Biblio,Biblio - BibTex (biblio_bibtex),Not installed,7.x-1.0-rc7
 Biblio,Biblio - CiteProc (biblio_citeproc),Not installed,7.x-1.0-rc7
 Biblio,Biblio - Crossref (biblio_crossref),Not installed,7.x-1.0-rc7
 Biblio,Biblio - EndNote Tagged (biblio_tagged),Not installed,7.x-1.0-rc7
 Biblio,Biblio - EndNote XML (biblio_xml),Not installed,7.x-1.0-rc7
 Biblio,Biblio - MARC (biblio_marc),Not installed,7.x-1.0-rc7
 Biblio,Biblio - PubMed (biblio_pm),Not installed,7.x-1.0-rc7
 Biblio,Biblio - RIS (biblio_ris),Not installed,7.x-1.0-rc7
 Biblio,Biblio - RTF (biblio_rtf),Not installed,7.x-1.0-rc7
 Chaos tool suite,Bulk Export (bulk_export),Not installed,7.x-1.12
 Chaos tool suite,Chaos tools (ctools),Enabled,7.x-1.12
 Chaos tool suite,Chaos Tools (CTools) AJAX Example (ctools_ajax_sample),Not installed,7.x-1.12
 Chaos tool suite,Chaos Tools (CTools) Plugin Example,Not installed,7.x-1.12
,(ctools_plugin_example)
 Chaos tool suite,Custom content panes (ctools_custom_content),Not installed,7.x-1.12
 Chaos tool suite,Custom rulesets (ctools_access_ruleset),Not installed,7.x-1.12
 Chaos tool suite,Page manager (page_manager),Not installed,7.x-1.12
